    7.00	    7.00	    3.00	    7.2163969274	    6.9122776740	    3.1264061843	26352
    7.00	    7.00	    4.00	    7.2178913362	    6.9016253975	    4.0311633526	45720
    7.00	    7.00	    5.00	    7.2158132028	    6.9083877180	    5.0764211902	59760
    7.00	    7.00	    6.00	    7.2166653015	    6.9103456856	    6.1027314918	63216
    7.00	    7.00	    7.00	    7.2888835542	    7.0567985035	    6.8141381190	24744
    8.00	    4.00	    3.00	    7.6264798700	    4.3568421869	    3.3400592103	864
    8.00	    4.00	    4.00	    7.9141871783	    4.3251561908	    4.0146621089	16902
    8.00	    5.00	    2.00	    7.6632481851	    5.4040311953	    2.3933261203	2736
    8.00	    5.00	    3.00	    7.9325534412	    5.2019089925	    3.1638859793	32148
    8.00	    5.00	    4.00	    8.0152648300	    5.0906222166	    4.0470141823	80928
    8.00	    5.00	    5.00	    8.0084513348	    5.2486792190	    4.9197214704	53496
    8.00	    6.00	    1.00	    7.6742557740	    6.4100936924	    1.4142135624	1584
    8.00	    6.00	    2.00	    7.9490754383	    6.1799877196	    2.2699067131	34596
    8.00	    6.00	    3.00	    8.0132199727	    6.1021510952	    3.1230495061	51912
    8.00	    6.00	    4.00	    8.0126428130	    6.1175741031	    4.0327310680	87120
    8.00	    6.00	    5.00	    8.0202494330	    6.1102853440	    5.0712027187	114912
    8.00	    6.00	    6.00	    8.0208072400	    6.2559079866	    5.9551206208	61704
    8.00	    7.00	    1.00	    7.9543835874	    7.1411924430	    1.2858146122	20556
    8.00	    7.00	    2.00	    8.0096631115	    7.0648471487	    2.2013964207	54432
    8.00	    7.00	    3.00	    8.0139841060	    7.0599137411	    3.1242385100	61920
    8.00	    7.00	    4.00	    8.0182818770	    7.0642695933	    4.0474789016	99504
    8.00	    7.00	    5.00	    8.0144050431	    7.0579912000	    5.0782814143	132912
    8.00	    7.00	    6.00	    8.0171970853	    7.0633331215	    6.1156700570	144144
    8.00	    7.00	    7.00	    8.0109132251	    7.2176681057	    6.9091639795	82008
    8.00	    8.00	    1.00	    8.1590539348	    7.8609702071	    1.2408218386	15480
    8.00	    8.00	    2.00	    8.1791549238	    7.8611854996	    2.2040244485	30600
    8.00	    8.00	    3.00	    8.1744345184	    7.8684706962	    3.1236078213	33768
    8.00	    8.00	    4.00	    8.1635462527	    7.8648447010	    4.0355482098	55728
    8.00	    8.00	    5.00	    8.1726400148	    7.8593270638	    5.0832693038	75024
    8.00	    8.00	    6.00	    8.1636937183	    7.8673282086	    6.1109218091	77832
    8.00	    8.00	    7.00	    8.1731692590	    7.8621610077	    7.0573182255	92304
    8.00	    8.00	    8.00	    8.2391993826	    8.0121311854	    7.7886883469	34272
    9.00	    4.00	    4.00	    8.6308157832	    4.4509040154	    4.2783729638	1152
    9.00	    5.00	    3.00	    8.6372101479	    5.4290875473	    3.3281046719	2208
    9.00	    5.00	    4.00	    8.9089550737	    5.1977115401	    4.1529902804	59220
    9.00	    5.00	    5.00	    9.0361291863	    5.2652289501	    4.9121825864	71208
    9.00	    6.00	    2.00	    8.6458344437	    6.4052979405	    2.3906147730	4176
    9.00	    6.00	    3.00	    8.9072942842	    6.2000339404	    3.1659752554	45540
    9.00	    6.00	    4.00	    9.0433931392	    6.1085040792	    4.0482138217	114336
    9.00	    6.00	    5.00	    9.0464834302	    6.1139812393	    5.0812645824	152208
    9.00	    6.00	    6.00	    9.0504537343	    6.2612921891	    5.9639008221	81504
    9.00	    7.00	    1.00	    8.6432937182	    7.3477475631	    1.4142135624	2016
    9.00	    7.00	    2.00	    8.9310091688	    7.1475434941	    2.2740200212	48612
    9.00	    7.00	    3.00	    9.0485839459	    7.0611643337	    3.1234347211	80064
    9.00	    7.00	    4.00	    9.0453427760	    7.0607556041	    4.0385784073	134352
    9.00	    7.00	    5.00	    9.0480060049	    7.0633296305	    5.0833208947	177552
    9.00	    7.00	    6.00	    9.0490604718	    7.0571647851	    6.1134185133	188352
    9.00	    7.00	    7.00	    9.0394910701	    7.2218563831	    6.9130940023	110448
    9.00	    8.00	    1.00	    8.9151793694	    8.0983357160	    1.2942675501	27972
    9.00	    8.00	    2.00	    9.0498847928	    8.0197096185	    2.2059560885	79344
    9.00	    8.00	    3.00	    9.0506522508	    8.0145411293	    3.1203977269	89856
    9.00	    8.00	    4.00	    9.0450772730	    8.0165582639	    4.0407721711	149760
    9.00	    8.00	    5.00	    9.0452101012	    8.0175777163	    5.0782164253	196128
    9.00	    8.00	    6.00	    9.0397821587	    8.0118831873	    6.1039612962	212400
    9.00	    8.00	    7.00	    9.0520158888	    8.0220243876	    7.0590557104	243072
    9.00	    8.00	    8.00	    9.0447116458	    8.1704932061	    7.8621744041	137664
    9.00	    9.00	    1.00	    9.2327023791	    8.8624748626	    1.2437193256	27288
    9.00	    9.00	    2.00	    9.2242554089	    8.8623280015	    2.2044487799	54000
    9.00	    9.00	    3.00	    9.2245798597	    8.8642725385	    3.1273103743	59616
    9.00	    9.00	    4.00	    9.2269850184	    8.8706921712	    4.0399205869	98568
    9.00	    9.00	    5.00	    9.2298008242	    8.8642979135	    5.0806597508	131472
    9.00	    9.00	    6.00	    9.2286912887	    8.8638274284	    6.1154275306	140040
    9.00	    9.00	    7.00	    9.2244113797	    8.8680656523	    7.0610357867	161496
    9.00	    9.00	    8.00	    9.2294536868	    8.8674022753	    8.0140617295	178992
    9.00	    9.00	    9.00	    9.3132775734	    9.0497644304	    8.7734266468	81216
   10.00	    5.00	    4.00	    9.6647874259	    5.4137218024	    4.3632417563	2736
   10.00	    5.00	    5.00	    9.9859558443	    5.3591578935	    5.0588387442	39282
   10.00	    6.00	    3.00	    9.6431969309	    6.4170631474	    3.3287826280	1584
   10.00	    6.00	    4.00	    9.9686161184	    6.2181133634	    4.1724994161	62172
   10.00	    6.00	    5.00	   10.0808696171	    6.1136585935	    5.0880023129	149328
   10.00	    6.00	    6.00	   10.0847455508	    6.2602191520	    5.9590253519	79632
   10.00	    7.00	    2.00	    9.6765457785	    7.3799772233	    2.3992728568	2448
   10.00	    7.00	    3.00	    9.9660691060	    7.1818879119	    3.1751435661	46380
   10.00	    7.00	    4.00	   10.0821293341	    7.0679508729	    4.0484399447	128448
   10.00	    7.00	    5.00	   10.0870057398	    7.0631994450	    5.0775682816	173808
   10.00	    7.00	    6.00	   10.0902131281	    7.0616840403	    6.1089768332	186480
   10.00	    7.00	    7.00	   10.0795625875	    7.2087961067	    6.9081132427	106488
   10.00	    8.00	    1.00	    9.6585025739	    8.3732822845	    1.4142135624	1224
   10.00	    8.00	    2.00	    9.9787006383	    8.1146013309	    2.2922505258	48852
   10.00	    8.00	    3.00	   10.0887595738	    8.0182503661	    3.1251460587	87840
   10.00	    8.00	    4.00	   10.0859822543	    8.0162140523	    4.0360973381	147168
   10.00	    8.00	    5.00	   10.0817514898	    8.0184485626	    5.0777876856	192384
   10.00	    8.00	    6.00	   10.0874370425	    8.0156894323	    6.1131005539	208080
   10.00	    8.00	    7.00	   10.0832007377	    8.0103241667	    7.0638154063	239760
   10.00	    8.00	    8.00	   10.0913146268	    8.1727398809	    7.8642466264	132840
   10.00	    9.00	    1.00	    9.9930821141	    9.1770390660	    1.2924837993	35892
   10.00	    9.00	    2.00	   10.0842852271	    9.0497059620	    2.2061140629	103440
   10.00	    9.00	    3.00	   10.0828698300	    9.0471548937	    3.1194201279	117504
   10.00	    9.00	    4.00	   10.0858860862	    9.0463965913	    4.0382478812	193392
   10.00	    9.00	    5.00	   10.0877807029	    9.0457767862	    5.0789723382	258336
   10.00	    9.00	    6.00	   10.0817522030	    9.0465942974	    6.1081501203	273168
   10.00	    9.00	    7.00	   10.0895611967	    9.0456903546	    7.0580542691	321552
   10.00	    9.00	    8.00	   10.0831073473	    9.0463038346	    8.0176516050	356256
   10.00	    9.00	    9.00	   10.0891882588	    9.2249086593	    8.8656576278	234288
   10.00	   10.00	    1.00	   10.2498688835	    9.9291051402	    1.2421904436	26352
   10.00	   10.00	    2.00	   10.2468302073	    9.9200205055	    2.1996507588	52272
   10.00	   10.00	    3.00	   10.2484031492	    9.9309452288	    3.1303198364	57744
   10.00	   10.00	    4.00	   10.2423614039	    9.9280448245	    4.0437698978	94608
   10.00	   10.00	    5.00	   10.2465126551	    9.9255270227	    5.0793181137	126720
   10.00	   10.00	    6.00	   10.2439878578	    9.9256246683	    6.1126373317	135216
   10.00	   10.00	    7.00	   10.2412723443	    9.9277512022	    7.0619364334	155016
   10.00	   10.00	    8.00	   10.2457938075	    9.9300290537	    8.0156985044	174672
   10.00	   10.00	    9.00	   10.2422944704	    9.9238135679	    9.0491983260	231408
   10.00	   10.00	   10.00	   10.3189504579	   10.0946436850	    9.8425366916	75528
   11.00	    5.00	    5.00	   10.7247882000	    5.4576975334	    5.3789925365	2376
   11.00	    6.00	    4.00	   10.7112988693	    6.4334544849	    4.3877822411	3312
   11.00	    6.00	    5.00	   10.9600776706	    6.2009509354	    5.2004618488	97092
   11.00	    6.00	    6.00	   11.0512087721	    6.2605029138	    5.9609805700	85788
   11.00	    7.00	    3.00	   10.6925404178	    7.4084005818	    3.3821700458	1296
   11.00	    7.00	    4.00	   10.9409395994	    7.1762899770	    4.1685407344	75852
   11.00	    7.00	    5.00	   11.0523525883	    7.0645336160	    5.0892301922	182736
   11.00	    7.00	    6.00	   11.0547699623	    7.0611790772	    6.1109539169	195552
   11.00	    7.00	    7.00	   11.0511319151	    7.2207336639	    6.8990850443	115776
   11.00	    8.00	    2.00	   10.6885822779	    8.3772592988	    2.4094731618	2304
   11.00	    8.00	    3.00	   10.9280825475	    8.1315076721	    3.1772883519	53820
   11.00	    8.00	    4.00	   11.0529439919	    8.0231910844	    4.0480511407	151920
   11.00	    8.00	    5.00	   11.0490585701	    8.0152877406	    5.0794678635	207648
   11.00	    8.00	    6.00	   11.0585175250	    8.0190970419	    6.1127701904	221472
   11.00	    8.00	    7.00	   11.0556950160	    8.0182178262	    7.0640948018	255168
   11.00	    8.00	    8.00	   11.0522722118	    8.1625519751	    7.8638465473	141624
   11.00	    9.00	    1.00	   10.7235121109	    9.4230637010	    1.4142135624	2880
   11.00	    9.00	    2.00	   10.9673501078	    9.1686081459	    2.2763473216	73908
   11.00	    9.00	    3.00	   11.0544493044	    9.0425814998	    3.1276885180	124272
   11.00	    9.00	    4.00	   11.0543628748	    9.0482031671	    4.0409476845	207360
   11.00	    9.00	    5.00	   11.0547472011	    9.0446015607	    5.0797358708	271296
   11.00	    9.00	    6.00	   11.0515246932	    9.0504207350	    6.1090745128	294480
   11.00	    9.00	    7.00	   11.0572341708	    9.0449259083	    7.0622969795	336240
   11.00	    9.00	    8.00	   11.0556613153	    9.0469743259	    8.0156487123	379296
   11.00	    9.00	    9.00	   11.0556449062	    9.2272601923	    8.8676252736	250272
   11.00	   10.00	    1.00	   10.9678996672	   10.1645952752	    1.2859433465	40572
   11.00	   10.00	    2.00	   11.0565012386	   10.0910608320	    2.2054190001	108432
   11.00	   10.00	    3.00	   11.0577356246	   10.0821168863	    3.1154097251	122256
   11.00	   10.00	    4.00	   11.0514629802	   10.0876062571	    4.0349927626	204624
   11.00	   10.00	    5.00	   11.0589585044	   10.0851660075	    5.0799217494	269424
   11.00	   10.00	    6.00	   11.0523166675	   10.0859063738	    6.1110222004	286704
